"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20"
7.0462e-06,1.90795e-05,1.12932e-05,0.00173451,0.0014393,5.63652e-06,0.00202834,0.000512839,8.01329e-05,0.0204673,5.68072e-05,0.0427227,0.00129277,3.14143e-05,2.1396e-05,0.000448943,5.24053e-05,2.31474e-05,8.61035e-06,1.14245e-05
5.61079e-06,1.9971e-05,1.6759e-05,0.00302237,0.002407,9.62243e-06,0.00131317,0.000529104,3.70355e-05,0.0158911,6.69292e-05,0.0350786,0.00294685,2.3958e-05,1.96844e-05,0.000318196,6.54485e-05,8.24657e-06,2.76097e-05,1.00475e-05
1.21177e-05,1.54153e-05,9.82531e-06,0.00064762,0.00269147,5.02633e-06,0.00079151,0.000261951,2.5563e-05,0.0129311,0.000118165,0.0285984,0.00218502,3.74556e-05,2.22893e-05,0.000227431,0.000111802,0,2.72364e-05,9.65632e-06
1.14484e-05,2.7087e-05,9.05487e-06,0.000414696,0.00498437,7.16645e-06,0.000506564,6.4485e-05,4.03856e-05,0.0103355,6.45328e-05,0.0234474,0.00188737,2.94454e-05,2.58077e-05,0.000301385,4.67822e-05,0,2.44021e-05,1.63596e-05
7.96911e-06,2.93524e-05,4.68434e-06,0.000379999,0.00054015,4.08868e-06,0.000271489,7.38719e-05,1.90339e-05,0.00772749,0.000151329,0.0189223,0.00200623,4.62271e-05,2.97051e-05,8.42428e-05,1.95337e-05,0,2.6966e-05,1.43527e-05
1.41157e-05,2.93413e-05,5.77429e-06,0.000313011,0.000429834,5.04666e-06,0.000139951,0.000150047,5.1502e-05,0.00555292,0.000230796,0.0154712,9.24015e-05,4.69122e-05,2.78794e-05,4.61762e-05,2.21828e-05,0,3.11746e-05,1.36266e-05
1.22901e-05,2.91247e-05,4.76928e-06,0.00039022,0.000362876,4.57507e-06,0.000283096,0.000182747,5.09118e-05,0.00377608,0.000197672,0.0137052,6.44445e-05,3.04915e-05,2.60437e-05,6.71068e-05,3.39275e-05,0,1.4775e-05,1.84977e-05
1.05907e-05,3.74611e-05,3.93543e-06,0.000716057,0.000398638,9.39424e-06,0.000187054,0.000307645,3.82709e-05,0.00259656,0.000163882,0.000938231,8.82475e-05,8.98507e-05,4.31151e-05,0.000165362,2.28406e-05,0,1.68455e-05,3.23156e-05
1.44213e-05,2.56319e-05,7.05556e-06,0.000338653,0.000470914,8.02215e-06,0.000100899,0,5.99917e-05,0.00191091,5.33242e-05,0.000280196,8.12004e-05,6.85289e-05,3.33175e-05,6.03442e-05,1.20014e-05,0,7.54805e-06,2.16632e-05
1.86766e-05,3.18434e-05,5.60532e-06,0.000277349,0.000465606,8.32685e-06,5.30184e-05,0,7.30367e-05,0.0015974,6.35148e-05,5.83239e-05,7.89791e-05,0.000109446,5.40552e-05,3.57716e-05,1.28396e-05,0,3.08648e-05,1.39952e-05
1.99842e-05,1.86553e-05,3.98922e-06,0.000288153,0.000405742,1.32478e-05,4.0647e-05,0,0.000458573,0.00148869,5.1357e-05,2.54227e-05,0.000279722,6.62309e-05,4.5567e-05,6.31347e-05,1.78201e-05,0,9.48284e-06,2.59164e-05
2.56252e-05,1.86604e-05,3.25354e-06,0.000356459,0.000345988,1.84891e-05,7.4902e-05,0,0.000198642,0.00148732,6.44651e-05,7.91002e-06,8.73063e-05,5.94091e-05,6.62488e-05,5.23419e-05,1.30352e-05,0,1.15744e-05,5.17706e-05
3.33924e-05,1.8517e-05,8.67596e-06,0.000184447,0.000332874,2.59691e-05,8.2985e-05,0,0.000721875,0.00151618,3.50587e-05,1.17346e-05,9.05744e-05,9.47605e-05,7.16098e-05,9.97719e-05,2.50265e-05,0,3.36457e-05,6.21266e-05
