"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
6.91660420769987e-310,6.91660420770778e-310,6.91660420771568e-310,6.91660420772359e-310,6.91660420773149e-310,6.9166042077394e-310,6.9166042077473e-310,0.537997281,6.91660420776311e-310,6.91660420777102e-310,6.91660420778367e-310,0.850889881,0.955356546
6.91660420780738e-310,6.91660420781529e-310,6.91660420782319e-310,6.9166042078311e-310,6.916604207839e-310,6.91660420784691e-310,6.91660420785481e-310,0.53195493,6.91660420787062e-310,6.91660420787853e-310,6.91660420788643e-310,0.844206087,0.954611539
6.91660420791015e-310,6.91660420791805e-310,6.91660420792596e-310,6.91660420793386e-310,6.91660420794177e-310,6.91660420794967e-310,6.91660420795758e-310,0.522275927,6.91660420797339e-310,6.91660420798604e-310,6.91660420799394e-310,0.843448232,0.953453566
6.91660420801766e-310,6.91660420802556e-310,6.91660420803347e-310,6.91660420804137e-310,6.91660420804928e-310,6.91660420805718e-310,6.91660420806509e-310,0.505572421,6.9166042080809e-310,6.9166042080888e-310,6.91660420809671e-310,0.847024828,0.952124922
6.91660420812042e-310,6.91660420812833e-310,6.91660420813623e-310,6.91660420814414e-310,6.91660420815204e-310,6.91660420815995e-310,6.91660420816785e-310,0.48804203,6.9166042081884e-310,6.91660420819631e-310,6.91660420820421e-310,0.848701823,0.950597985
6.91660420822793e-310,6.91660420823583e-310,6.91660420824374e-310,6.91660420825164e-310,6.91660420825955e-310,6.91660420826745e-310,6.91660420827536e-310,0.469610434,6.91660420829117e-310,6.91660420829908e-310,6.91660420830698e-310,0.840540222,0.948594073
6.9166042083307e-310,6.9166042083386e-310,6.91660420834651e-310,6.91660420835441e-310,6.91660420836232e-310,6.91660420837022e-310,6.91660420837813e-310,0.456107021,6.91660420839868e-310,6.91660420840658e-310,6.91660420841449e-310,0.81352592,0.948562399
6.9166042084382e-310,6.91660420844611e-310,6.91660420845401e-310,6.91660420846192e-310,6.91660420846982e-310,6.91660420847773e-310,6.91660420848563e-310,0.445848869,6.91660420850144e-310,6.91660420850935e-310,6.91660420851725e-310,0.756843245,0.948548442
6.91660420854097e-310,6.91660420854887e-310,6.91660420855678e-310,6.91660420856468e-310,6.91660420857259e-310,6.91660420858049e-310,6.91660420859314e-310,0.443119818,6.91660420860895e-310,6.91660420861686e-310,6.91660420862476e-310,0.670393147,0.94829598
6.91660420864848e-310,6.91660420865638e-310,6.91660420866429e-310,6.91660420867219e-310,6.9166042086801e-310,6.916604208688e-310,6.91660420869591e-310,0.445581498,6.91660420871172e-310,6.91660420871962e-310,6.91660420872753e-310,0.565754809,0.947706109
6.91660420875124e-310,6.91660420875915e-310,6.91660420876705e-310,6.91660420877496e-310,6.91660420878286e-310,6.91660420879551e-310,6.91660420880342e-310,0.447532506,6.91660420881923e-310,6.91660420882713e-310,6.91660420883504e-310,0.457566037,0.946620434
6.91660420885875e-310,6.91660420886666e-310,6.91660420887456e-310,6.91660420888247e-310,6.91660420889037e-310,6.91660420889828e-310,6.91660420890618e-310,0.440183411,6.91660420892199e-310,6.9166042089299e-310,6.9166042089378e-310,0.353763564,0.94521576
6.91660420896152e-310,6.91660420896942e-310,6.91660420897733e-310,6.91660420898523e-310,6.91660420899788e-310,6.91660420900579e-310,6.91660420901369e-310,0.418240241,6.9166042090295e-310,6.91660420903741e-310,6.91660420904531e-310,0.256912748,0.943480979
6.91660420906903e-310,6.91660420907693e-310,6.91660420908484e-310,6.91660420909274e-310,6.91660420910065e-310,6.91660420910855e-310,6.91660420911646e-310,0.369455837,6.91660420913227e-310,6.91660420914017e-310,6.91660420914808e-310,0.176281,0.942137936
